iterations,mean reward,pct full rollout,std reward
0,218.48263232286527,0.9632295719844357,5.094612107311642
1,45.580380922424254,0.9625000000000001,0.7015646814840151
2,56.34942823008983,0.9800000000000001,1.059867600809018
3,70.13283760625708,0.9784090909090908,1.2817246011850085
4,42.69491500409588,0.9576923076923073,0.9709565273654589
5,47.68457319312927,0.9827586206896551,0.8844246470127644
6,57.01305796324598,0.9638888888888886,1.0535034835822183
7,48.770948192825976,0.973333333333333,0.6996066389719827
8,64.04184364616805,0.9787500000000001,1.0530448818358855
9,70.24705756208023,0.9784090909090908,1.6598774795794302
10,47.7513751664347,0.9793103448275862,1.075522423477135
11,45.54414210489076,0.9660714285714287,1.2343298304630794
12,54.55750319649992,0.9735294117647056,1.4219706022439789
13,45.27498807479107,0.9571428571428571,0.9992473774608108
14,44.48044464829178,0.9425925925925928,1.3579711326896937
15,43.61512554946782,0.9788461538461538,1.0336660963233186
16,43.70068239026564,0.973076923076923,0.845115183428077
17,45.86225878290013,0.9696428571428573,0.7118801854300376
18,45.271828323593915,0.9571428571428571,0.981082030436011
19,45.33662332896949,0.9589285714285716,0.8119907090560927
